"_id","type","properties","geometry"
"65f1a72d24cfb376c41da3ae","Feature","{""GRID_ID"":""L-7"",""ORIGIN_ID"":74,""LAT"":1.293976218,""LONG"":103.843360672,""COORD"":""(103.843360672, 1.293976218)""}","{""type"":""Point"",""coordinates"":[103.84336067200007,1.293976218000068]}"
"65f1a72d24cfb376c41da3af","Feature","{""GRID_ID"":""M-7"",""ORIGIN_ID"":75,""LAT"":1.293292713,""LONG"":103.844544539,""COORD"":""(103.844544539, 1.293292713)""}","{""type"":""Point"",""coordinates"":[103.84454453900008,1.293292713000028]}"
"65f1a72d24cfb376c41da3b0","Feature","{""GRID_ID"":""N-7"",""ORIGIN_ID"":76,""LAT"":1.293976218,""LONG"":103.845728405,""COORD"":""(103.845728405, 1.293976218)""}","{""type"":""Point"",""coordinates"":[103.84572840500005,1.293976218000068]}"
"65f1a72d24cfb376c41da3b4","Feature","{""GRID_ID"":""R-7"",""ORIGIN_ID"":80,""LAT"":1.293976218,""LONG"":103.850463871,""COORD"":""(103.850463871, 1.293976218)""}","{""type"":""Point"",""coordinates"":[103.85046387100004,1.293976218000068]}"
"65f1a72d24cfb376c41da3b5","Feature","{""GRID_ID"":""A-6"",""ORIGIN_ID"":81,""LAT"":1.294659724,""LONG"":103.83033814,""COORD"":""(103.83033814, 1.294659724)""}","{""type"":""Point"",""coordinates"":[103.83033814000004,1.294659724000041]}"
"65f1a72d24cfb376c41da3bd","Feature","{""GRID_ID"":""P-6"",""ORIGIN_ID"":89,""LAT"":1.29534323,""LONG"":103.848096138,""COORD"":""(103.848096138, 1.29534323)""}","{""type"":""Point"",""coordinates"":[103.84809613800007,1.295343230000071]}"
"65f1a72d24cfb376c41da3c1","Feature","{""GRID_ID"":""A-5"",""ORIGIN_ID"":93,""LAT"":1.296026735,""LONG"":103.83033814,""COORD"":""(103.83033814, 1.296026735)""}","{""type"":""Point"",""coordinates"":[103.83033814000004,1.296026735000055]}"
"65f1a72d24cfb376c41da3c4","Feature","{""GRID_ID"":""K-5"",""ORIGIN_ID"":96,""LAT"":1.296026735,""LONG"":103.842176806,""COORD"":""(103.842176806, 1.296026735)""}","{""type"":""Point"",""coordinates"":[103.84217680600005,1.296026735000055]}"
"65f1a72d24cfb376c41da3c8","Feature","{""GRID_ID"":""O-5"",""ORIGIN_ID"":100,""LAT"":1.296026735,""LONG"":103.846912272,""COORD"":""(103.846912272, 1.296026735)""}","{""type"":""Point"",""coordinates"":[103.84691227200005,1.296026735000055]}"
"65f1a72d24cfb376c41da3c9","Feature","{""GRID_ID"":""P-5"",""ORIGIN_ID"":101,""LAT"":1.296710241,""LONG"":103.848096138,""COORD"":""(103.848096138, 1.296710241)""}","{""type"":""Point"",""coordinates"":[103.84809613800007,1.296710241000028]}"
"65f1a72d24cfb376c41da3d5","Feature","{""GRID_ID"":""R-4"",""ORIGIN_ID"":113,""LAT"":1.298077252,""LONG"":103.850463871,""COORD"":""(103.850463871, 1.298077252)""}","{""type"":""Point"",""coordinates"":[103.85046387100004,1.298077252000041]}"
"65f1a72d24cfb376c41da3d9","Feature","{""GRID_ID"":""L-3"",""ORIGIN_ID"":117,""LAT"":1.299444264,""LONG"":103.843360672,""COORD"":""(103.843360672, 1.299444264)""}","{""type"":""Point"",""coordinates"":[103.84336067200007,1.299444264000044]}"
"65f1a72d24cfb376c41da3de","Feature","{""GRID_ID"":""Q-3"",""ORIGIN_ID"":122,""LAT"":1.298760758,""LONG"":103.849280005,""COORD"":""(103.849280005, 1.298760758)""}","{""type"":""Point"",""coordinates"":[103.84928000500008,1.298760758000071]}"
